19
19
Taken from: ./DaltonOutputs/CAS44_h2o_sto3g.out
    Excitation energy (eV)  Total oscillator strength
1                12.891868               2.956927e-01
2                13.349655               4.977229e-01
3                19.631757               1.738990e-02
4                21.255839               1.554729e-04
5                30.344028               1.036092e-02
6               304.270501               3.639096e-02
7               304.733475               7.869851e-02
8               315.233076               2.696974e-03
9               316.606734               5.523075e-04
10              319.186130               8.087155e-05
11              319.823067               1.735148e-04
12              327.718319               6.770299e-05
13              329.062236               8.565780e-06
14              677.910533               1.588500e-06
15              679.445256               1.845875e-07
16              682.609561               1.276448e-06
17              694.866446               1.233680e-07
18              696.236241               5.883007e-10
19              705.144791               3.113478e-09
