104
104
Taken from: ./DaltonOutputs/CAS86_h2o_pvdz.out
     Excitation energy (eV)  Total oscillator strength
1                198.971041               8.170460e-03
2                  5.326726               4.347636e-03
3                  7.912990               6.105805e-27
4                  9.070191               9.841789e-02
5                  9.854065               8.831762e-04
6                 12.793635               3.705078e-03
7                 14.797747               3.269440e-01
8                 16.279547               3.476713e-29
9                 17.421343               4.849759e-28
10                17.600841               2.676189e-05
11                18.400881               4.958660e-01
12                20.093081               1.972091e-02
13                21.394636               2.525461e-04
14                23.473916               2.396073e-04
15                23.913182               2.160164e-02
16                25.243762               8.498975e-04
17                25.708413               2.907761e-06
18                26.329605               7.122345e-04
19                27.765223               3.090294e-03
20                28.469693               6.855972e-04
21                30.503680               1.611493e-05
22                31.147635               4.339165e-03
23                31.572525               6.713651e-28
24                32.570794               2.436221e-29
25                34.074618               4.281325e-05
26                34.179576               8.866692e-04
27                37.408290               1.114276e-06
28                37.477374               1.128656e-27
29                37.594884               2.604978e-04
30                39.537723               4.706714e-06
31                39.971544               1.404821e-03
32                42.200111               4.473036e-07
33                43.516068               2.295881e-06
34                43.838444               5.617819e-04
35                43.971666               5.533934e-05
36                45.749033               2.523974e-09
37                46.266145               5.618012e-31
38                48.266806               7.913820e-03
39                51.297410               4.222642e-30
40                53.090734               6.391407e-05
41                55.010675               3.321586e-05
42                55.116419               1.990610e-05
43                56.104573               2.454999e-06
44                57.769138               3.155497e-07
45                57.880686               5.034695e-06
46                62.760403               5.925001e-08
47                63.263188               1.267884e-29
48                66.089220               1.862540e-07
49                75.408414               6.881454e-08
50               291.734970               4.821785e-02
51               296.070889               1.376116e-03
52               301.004452               5.284751e-05
53               302.914584               4.334633e-03
54               306.742248               1.246624e-04
55               307.549556               1.051976e-06
56               311.187040               6.875464e-29
57               311.588299               2.744668e-28
58               312.274326               1.646338e-05
59               313.332196               9.644196e-06
60               315.810774               1.634689e-07
61               316.691035               6.026309e-07
62               321.763131               5.091751e-04
63               322.007544               1.071718e-08
64               323.388006               7.008720e-06
65               324.426175               6.340615e-05
66               326.511602               1.494085e-05
67               326.551930               1.051196e-05
68               329.266593               4.025885e-08
69               329.574381               7.825100e-06
70               330.776581               5.703519e-07
71               331.612461               8.005647e-31
72               331.836030               1.670913e-30
73               336.440661               2.550237e-06
74               337.466994               3.054989e-07
75               338.409732               7.138336e-08
76               338.847101               1.532040e-05
77               342.135735               4.239894e-08
78               344.027961               4.395962e-09
79               345.714116               4.178441e-07
80               345.795777               4.512472e-07
81               347.057570               3.534155e-31
82               350.910568               4.417259e-08
83               352.227545               4.369513e-30
84               352.851557               2.061498e-09
85               357.883054               1.507735e-08
86               359.794165               1.976291e-09
87               360.808470               1.285768e-06
88               366.320302               6.762186e-08
89               370.723896               1.059805e-09
90               656.807902               1.454711e-07
91               671.667667               1.341939e-06
92               678.437809               2.041876e-07
93               682.126559               1.288328e-11
94               691.877192               7.689935e-06
95               694.556209               2.130123e-07
96               699.098853               8.714927e-09
97               701.153504               3.993509e-31
98               707.491175               8.295776e-08
99               709.055532               6.790570e-13
100              712.791194               3.124441e-09
101              716.906510               3.030971e-08
102              725.437992               6.397115e-09
103              730.460563               1.772636e-14
104              741.364334               7.287960e-10
