19
19
Taken from: ./DaltonOutputs/CAS44_h2o_pvdz.out
    Excitation energy (eV)  Total oscillator strength
1                14.014382               4.890757e-01
2                16.862063               3.847623e-01
3                20.488221               2.901067e-02
4                25.697277               4.891185e-04
5                37.241206               6.565171e-03
6               308.018163               4.969844e-02
7               313.044844               5.903569e-02
8               319.692453               9.014013e-04
9               322.819478               9.885817e-04
10              328.593519               7.019757e-05
11              332.036687               4.427806e-06
12              336.453178               3.849341e-05
13              342.767012               1.853537e-06
14              688.635553               3.638882e-06
15              691.498491               1.137007e-08
16              696.835055               3.718584e-06
17              706.407318               6.014562e-08
18              713.872167               6.733717e-08
19              723.449954               6.653703e-09
