195
195
Taken from: ./DaltonOutputs/CAS107_h2o_sto3g.out
     Excitation energy (eV)  Total oscillator strength
1                 15.622570               1.143958e-28
2                 16.403413               7.914109e-02
3                 18.440277               4.100133e-02
4                 19.969732               2.932215e-01
5                 28.742934               1.105970e+00
6                 30.568568               3.079772e-01
7                 32.200066               3.097141e-01
8                 33.745546               6.155392e-02
9                 34.443347               3.470360e-29
10                34.752778               2.631301e-03
11                35.301145               5.105170e-02
12                37.059061               7.056932e-02
13                38.435403               2.503942e-02
14                38.506185               2.426039e-27
15                39.129275               1.005919e-02
16                39.522539               1.994400e-03
17                41.473442               9.282053e-31
18                41.951941               9.049709e-05
19                42.780920               1.395945e-04
20                43.913485               3.971167e-03
21                44.757879               6.844896e-30
22                45.914971               8.653709e-08
23                46.119704               2.600870e-04
24                47.499104               1.262123e-03
25                49.052813               6.054918e-03
26                49.291865               1.438036e-04
27                51.762877               3.306433e-30
28                52.496728               1.330447e-04
29                52.608159               2.440636e-06
30                54.141347               4.016769e-04
31                54.752798               8.943788e-04
32                55.095379               2.718156e-30
33                55.984585               4.907946e-04
34                56.481119               1.410723e-05
35                56.685605               3.302683e-03
36                56.896060               1.505420e-03
37                58.074929               7.987330e-05
38                58.633372               4.307847e-03
39                58.850100               2.463818e-28
40                59.943971               1.393940e-03
41                60.838835               1.403725e-04
42                61.895508               1.024461e-03
43                61.930613               1.081371e-03
44                61.965944               7.223386e-28
45                63.587863               3.147668e-04
46                64.716260               1.643372e-30
47                65.451586               2.456276e-04
48                65.501649               8.255475e-05
49                66.265890               1.518365e-03
50                68.147607               9.589792e-06
51                68.853158               2.602120e-04
52                69.799380               1.796648e-04
53                70.146483               1.010900e-05
54                70.202111               1.605024e-30
55                70.749126               2.684239e-04
56                71.030268               3.525696e-04
57                71.781366               2.553054e-07
58                73.419146               2.015773e-04
59                73.572679               9.668913e-06
60                74.241962               1.516440e-30
61                74.755564               3.045129e-06
62                75.359945               1.495110e-05
63                75.603961               3.438479e-31
64                76.651673               4.309342e-05
65                76.688504               5.767199e-05
66                79.470894               2.321596e-05
67                79.728297               4.904098e-07
68                79.826139               1.031473e-07
69                80.530168               2.555596e-30
70                80.548481               8.677723e-06
71                80.843897               6.492950e-07
72                82.571401               2.194855e-06
73                83.036512               1.636345e-07
74                83.506521               4.112870e-32
75                84.596999               2.419042e-06
76                85.543278               6.660928e-06
77                86.099164               6.718152e-32
78                86.838307               1.531154e-05
79                87.507119               7.474813e-07
80                87.804456               5.521211e-06
81                90.207639               2.225367e-31
82                91.652420               8.961711e-06
83                92.389168               9.578070e-07
84                92.585534               4.502145e-06
85                92.705893               1.306150e-05
86                95.116986               2.048996e-07
87                96.200348               5.720490e-07
88                96.649372               2.931237e-05
89                98.213184               2.578955e-06
90                98.747771               3.136375e-32
91                99.168628               4.992743e-06
92                99.895561               2.979566e-07
